#          source         l            b           l*          b*         D*         NHI      NKI    V_CNM    V_KI   Delta_V
                          [deg]       [deg]       [deg]       [deg]     [pc]  [1e20 cm-2][1e10 cm-2] [km/s]   [km/s] [km/s]
---------------------------------------------------------------------------------------------------------------------------    
105 	J041648-794855 	 293.44 	 -33.17 	 292.88 	 -33.05 	 1209.50 	 6.4 	 17.5 	 2.81 	 5.57 	 -2.76
106 	J041714-712154 	 284.56 	 -37.54 	 284.74 	 -38.02 	 798.20 	 8.0 	 33.3 	 5.18 	 5.59 	 -0.41
107 	J041737-780347 	 291.65 	 -34.10 	 291.88 	 -33.81 	 718.50 	 6.4 	 19.1 	 3.11 	 5.70 	 -2.59
108 	J041752-753009 	 289.00 	 -35.44 	 288.74 	 -35.31 	 661.30 	 6.4 	 16.8 	 4.74 	 5.05 	 -0.31
109 	J041755-753016 	 289.00 	 -35.43 	 288.74 	 -35.31 	 661.30 	 6.6 	 16.8 	 3.60 	 5.05 	 -1.45
110 	J042116-753837 	 289.01 	 -35.18 	 288.74 	 -35.31 	 661.30 	 6.5 	 16.8 	 1.94 	 5.05 	 -3.11
111 	J042347-735736 	 287.11 	 -35.87 	 286.78 	 -35.57 	 596.40 	 7.5 	 28.0 	 6.35 	 6.75 	 -0.40
112 	J042349-724413 	 285.78 	 -36.44 	 285.62 	 -36.82 	 805.20 	 7.0 	 21.5 	 5.42 	 5.45 	 -0.03
113 	J042401-792607 	 292.85 	 -33.10 	 292.76 	 -32.96 	 1278.20 	 7.0 	 25.3 	 4.27 	 4.36 	 -0.09
114 	J042402-724748 	 285.83 	 -36.40 	 285.96 	 -36.67 	 789.20 	 6.0 	 22.6 	 0.26 	 3.23 	 -2.97
115 	J042501-724714 	 285.78 	 -36.34 	 285.62 	 -36.82 	 805.20 	 6.8 	 21.5 	 5.28 	 5.45 	 -0.17
116 	J042656-721156 	 285.05 	 -36.48 	 285.19 	 -36.30 	 1053.10 	 8.3 	 47.7 	 1.04 	 -1.02 	 2.06
117 	J042844-725430 	 285.76 	 -36.04 	 286.18 	 -36.38 	 982.50 	 8.1 	 24.9 	 5.77 	 9.06 	 -3.29
118 	J043106-790301 	 292.25 	 -33.01 	 292.06 	 -32.78 	 735.30 	 7.2 	 33.1 	 1.08 	 2.66 	 -1.58
119 	J043200-711323 	 283.74 	 -36.54 	 284.15 	 -36.18 	 1448.80 	 8.4 	 17.6 	 2.08 	 2.83 	 -0.75
120 	J043206-684632 	 280.93 	 -37.52 	 281.03 	 -37.06 	 659.40 	 5.4 	 23.9 	 5.59 	 2.55 	 3.04
121 	J043208-724929 	 285.53 	 -35.85 	 286.01 	 -35.63 	 1897.60 	 7.4 	 20.1 	 5.57 	 7.99 	 -2.42
122 	J043209-735432 	 286.73 	 -35.38 	 286.96 	 -35.32 	 679.50 	 8.5 	 51.2 	 4.14 	 3.73 	 0.41
123 	J043251-713314 	 284.08 	 -36.35 	 284.39 	 -36.21 	 523.80 	 8.3 	 20.6 	 0.67 	 3.30 	 -2.63
124 	J043253-713324 	 284.08 	 -36.34 	 284.39 	 -36.21 	 523.80 	 9.0 	 20.6 	 2.23 	 3.30 	 -1.07
125 	J043655-693032 	 281.57 	 -36.85 	 281.07 	 -36.89 	 860.40 	 6.4 	 25.1 	 2.64 	 3.20 	 -0.56
126 	J043704-714819 	 284.19 	 -35.94 	 283.94 	 -36.18 	 2766.30 	 7.9 	 19.4 	 4.23 	 4.38 	 -0.15
127 	J043714-700916 	 282.30 	 -36.58 	 282.11 	 -36.39 	 652.70 	 7.0 	 19.6 	 5.35 	 5.59 	 -0.24
128 	J043816-731011 	 285.68 	 -35.30 	 286.01 	 -35.63 	 1897.60 	 7.2 	 20.1 	 7.54 	 7.99 	 -0.45
129 	J043816-731000 	 285.68 	 -35.30 	 286.01 	 -35.63 	 1897.60 	 6.0 	 20.1 	 5.30 	 7.99 	 -2.69
130 	J043932-704458 	 282.89 	 -36.17 	 282.97 	 -36.02 	 756.70 	 10.1 	 17.3 	 3.25 	 3.78 	 -0.53
131 	J043932-704522 	 282.90 	 -36.17 	 282.97 	 -36.02 	 756.70 	 9.2 	 17.3 	 2.81 	 3.78 	 -0.97
132 	J044008-715718 	 284.25 	 -35.66 	 283.90 	 -35.43 	 1847.70 	 8.9 	 39.2 	 3.56 	 6.03 	 -2.47
133 	J044047-695217 	 281.84 	 -36.40 	 281.43 	 -36.25 	 1001.30 	 8.0 	 25.6 	 5.72 	 5.68 	 0.04
134 	J044202-692632 	 281.29 	 -36.45 	 281.45 	 -36.12 	 506.00 	 8.4 	 46.4 	 1.83 	 2.23 	 -0.40
