src_id,src_name,src_glon,src_glat,nhi,sig_nhi,nhi_thin,star_id,r_med,ew_ki_ism,amp_ki_ism,res_max_ki_ism,ki_ism_vlsr_obs,ki_ism_avg_vlsr_obs,ki_ism_sig_vlsr_obs,emt_min_vlsr,vlsr_hi_ki_diff,vlsr_diff_min,n_nearby_stars
207,J041042-775042,291.67368583607583,-34.5185316828846,5.748470685655716,0.1802514498499882,5.339166442764052,150902002901075,667.62646484375,0.0322586335241794,0.0549728346148448,0.0590154108485532,5.0264953206285305,5.0264953206285305,5.0,2.828880263069006,2.197615057559525,2.197615057559525,1
208,J041045-775317,291.7150078428028,-34.49222897436866,6.175147124332076,0.3188069228092648,5.348848326772168,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
209,J041100-764122,290.49503606921127,-35.1508792171559,6.283779193497003,0.2290613718534698,5.752581768475684,150902002901386,989.57421875,0.0811473578214645,0.2186604757667598,0.2299870178239799,1.6374816908030123,1.6374816908030123,5.0,0.7965429151471877,0.8409387756558246,0.8409387756558246,1
210,J041102-764126,290.495070026784,-35.149077758347794,6.441941365769053,0.2275833142642011,5.854653923483065,150902002901386,989.57421875,0.0811473578214645,0.2186604757667598,0.2299870178239799,1.6374816908030123,3.6957841957252855,3.5355339059327373,0.829651534759685,0.8078301560433273,0.8078301560433273,2
211,J041123-762247,290.16410202599855,-35.303347211399874,6.34146637800817,0.2161134742502595,5.723495876549684,150902002901386,989.57421875,0.0811473578214645,0.2186604757667598,0.2299870178239799,1.6374816908030123,3.6957841957252855,3.5355339059327373,3.1897803292582507,1.5522986384552384,1.5522986384552384,2
212,J041204-743550,288.2870763624764,-36.2309414338055,6.944205866268416,0.181953145162664,6.446648048311667,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
213,J041258-773857,291.39458824650444,-34.528012421456616,5.612132690639108,0.2836607138736882,5.184699015210297,150902002901075,667.62646484375,0.0322586335241794,0.0549728346148448,0.0590154108485532,5.0264953206285305,5.0264953206285305,5.0,2.9541962708021767,2.072299049826354,2.072299049826354,1
214,J041334-743302,288.1729585705992,-36.17090641728382,7.719228734457565,0.3648835061211023,6.589666822823478,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
215,J041351-772532,291.1364560476188,-34.61219812168375,5.636742879792739,0.1903608596483341,5.587413024640948,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
216,J041406-765311,290.5779900366726,-34.895274810207724,6.440240171760328,0.1707003122586491,5.593313091545795,150902002901386,989.57421875,0.0811473578214645,0.2186604757667598,0.2299870178239799,1.6374816908030123,1.6374816908030123,5.0,3.0913479081545363,1.453866217351524,1.453866217351524,1
217,J041409-773830,291.3450103491723,-34.48013514298358,5.670181667845839,0.1801746947393376,5.269322507108478,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
218,J041430-693108,282.6354413465606,-38.61685557341183,5.008935090428767,1.053859963120543,4.720493971624329,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
219,J041437-773239,291.2294109359427,-34.51262526254605,6.073769279388432,0.2376932633628862,5.574416954292994,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
220,J041439-705437,284.1851145895068,-37.94132993998382,8.721977419511909,0.2875439589823756,7.645345256190295,150827005201013,798.2056884765625,0.0580081790685653,0.1582080871733356,0.1410256211996482,5.590229822194491,4.6580872992905125,1.7677669529663689,2.6309301357783634,2.959299686416128,2.959299686416128,8
221,J041440-705443,284.18634627643195,-37.93947897240189,8.883549285474798,0.9681586491160108,7.79643685535865,150827005201013,798.2056884765625,0.0580081790685653,0.1582080871733356,0.1410256211996482,5.590229822194491,4.967009096166677,1.6666666666666667,2.506858666623964,3.083371155570527,3.083371155570527,9
222,J041449-773156,291.209949110531,-34.51000752791676,5.984555404374063,0.160657827056237,5.371035809470208,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
223,J041648-785512,292.5444963284885,-33.66449105042929,6.564504926367271,0.2188773178817123,5.82430780037242,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
224,J041648-794855,293.4374470748196,-33.168370262594244,6.359137979418227,0.2716193227517117,5.9158048638694085,160919004601295,1209.5294189453125,0.0305596627295017,0.0997764815479684,0.0953932937329095,5.569244448817864,5.569244448817864,5.0,2.8103091995306424,2.7589352492872217,2.7589352492872217,1
225,J041706-760949,289.7175045955036,-35.133488098615395,7.940676374233428,0.3970852825443243,5.679687463379619,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
226,J041714-712154,284.5613188867607,-37.53856869771054,8.001044708437869,0.1857282163963666,7.533634458028738,150827005201013,798.2056884765625,0.0580081790685653,0.1582080871733356,0.1410256211996482,5.590229822194491,4.988123741996678,2.041241452319315,5.181387237833953,0.4088425843605376,0.4088425843605376,6
227,J041737-780347,291.65201294857644,-34.09697171013213,6.444336398599434,0.3088009625384471,5.484093994793946,161106004101180,718.4686889648438,0.0333027429878711,0.1142308253252458,0.1113530102282799,5.704988527737491,5.448545106878863,3.5355339059327373,3.1108761168094103,2.594112410928081,2.594112410928081,2
228,J041752-753009,288.9964929046667,-35.43814516626387,6.421685094537599,0.2290765292232039,5.827040175209831,150101002301135,661.25634765625,0.0292081627994775,0.0540322815043306,0.0711606375993941,5.04863284316232,5.04863284316232,5.0,4.742180954120182,0.3064518890421377,0.3064518890421377,1
229,J041755-753016,288.9964930385321,-35.43431042275151,6.632240680518356,0.2015442042338887,6.176459322105454,150101002301135,661.25634765625,0.0292081627994775,0.0540322815043306,0.0711606375993941,5.04863284316232,5.04863284316232,5.0,3.599072960356524,1.4495598828057965,1.4495598828057965,1
230,J041820-733133,286.8720599525435,-36.41236076878897,6.523635490195579,0.7475742246222227,5.732202571098754,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,-999.0,-999.0,999.0,0
